site,region,year,Total_Log_Discharge,Total_Discharge,Total_Runoff,Total_Sum_Runoff,Total_Runoff_Ratio,NR_Total_Runoff_Ratio,SF_Composition
C04,Central,2019,3.76057527,5762.02675,0.58483549,69.4795544,0.1549534,0.28175002,80.4725
C04,Central,2020,3.96122158,9145.79747,0.92828221,107.994819,0.27402897,0.26718164,80.4725
C04,Central,2021,3.86009147,7245.88563,0.73544453,81.2485597,,0.22829042,80.4725
C05,Central,2019,3.56200941,3647.61849,0.41681052,49.9061402,0.10877774,0.20237689,83.2141
C05,Central,2020,3.71015667,5130.46429,0.58625415,66.9120514,0.16731359,0.16554194,83.2141
C05,Central,2021,4.45735212,28665.0112,3.27552848,377.311795,,,83.2141
C06,Central,2019,3.74820566,5600.22741,0.69482635,68.4082821,0.14244603,0.27740585,94.4792
C06,Central,2020,4.01603095,10376.0235,1.2873646,45.7864949,0.10954231,0.11327683,94.4792
C06,Central,2021,3.89307592,7817.64456,0.96994372,108.680071,,0.30536688,94.4792
C07,Central,2019,3.91148388,8156.12515,1.0414798,83.1268698,0.17446035,0.33709193,90.873
C07,Central,2020,4.05504948,11351.4015,1.44949411,87.217597,0.20987967,0.21577832,90.873
C07,Central,2021,3.8784801,7559.27413,0.96526613,60.5809509,,0.17021902,90.873
L08,Lower,2019,3.34623695,2219.407,0.28785127,34.9583339,0.07258187,0.14176129,69.3484
L08,Lower,2020,3.50625913,3208.18298,0.41609293,46.9175085,0.11423234,0.11607498,69.3484
L08,Lower,2021,3.6877655,4872.65317,0.63197035,61.9478946,,0.17405983,69.3484
L09,Lower,2019,3.31369824,2059.1986,0.26263566,31.2307264,0.06908536,0.12664528,64.7312
L09,Lower,2020,3.33494531,2162.4462,0.27580414,31.5751444,0.08149897,0.07811763,64.7312
L09,Lower,2021,4.02109736,10497.7774,1.33891444,123.744223,,0.3476938,64.7312
L10,Lower,2019,3.45425528,2846.13361,0.35679981,42.5461031,0.08906821,0.17253083,62.1985
L10,Lower,2020,3.53179554,3402.47969,0.42654502,48.5351164,0.1204435,0.12007698,62.1985
L10,Lower,2021,3.84850757,7055.17138,0.88445737,87.6355084,,0.24623633,62.1985
L11,Lower,2019,3.56325507,3658.09574,0.45877179,53.028562,0.11093377,0.21503878,77.4384
L11,Lower,2020,3.76791137,5860.18558,0.73494189,82.3172811,0.20467771,0.20365483,77.4384
L11,Lower,2021,4.05862224,11445.1699,1.43537004,139.75756,,0.39268772,77.4384
L12,Lower,2019,3.37398271,2365.82551,0.2794863,33.1042681,0.06925289,0.13424277,81.5966
L12,Lower,2020,4.02872963,10683.8954,1.26213973,133.58148,0.33214352,0.33048362,81.5966
L12,Lower,2021,4.14470191,13954.1026,1.64846496,156.417952,,0.43949972,81.5966
U01,Upper,2019,4.04406512,11067.8973,1.41400673,166.793716,0.35367624,0.67637354,89.7748
U01,Upper,2020,4.21830904,16531.3773,2.1120072,239.543001,0.5703269,0.59263484,89.7748
U01,Upper,2021,4.1487817,14085.8058,1.79956713,201.141277,,0.56516234,89.7748
U02,Upper,2019,4.66350835,46079.5628,5.68459673,641.619483,,,95.1073
U02,Upper,2020,4.29385763,19672.413,2.42688358,277.140076,0.62472403,0.68565086,95.1073
U02,Upper,2021,4.3000481,19954.833,2.46172428,279.451577,,0.7851969,95.1073
U03,Upper,2019,3.73771969,5466.6301,0.86369316,101.699502,0.21545135,0.41240674,95.7345
U03,Upper,2020,3.80162005,6333.15407,1.00059849,114.400643,0.27002937,0.28302979,95.7345
U03,Upper,2021,4.14239103,13880.0499,2.19296055,239.910947,,0.67409651,95.7345
