Sample_new,sample.name,year,plate,plate.location,run.date,enzyme,activity.nmol.h.g,incubation.time,
L09-1,N1-1,2019,1,1,Jan-23,CELO,643.6246712,1.hr,
L09-2,N1-2,2019,1,2,Jan-23,CELO,414.2709849,1.hr,
L09-3,N1-3,2019,1,3,Jan-23,CELO,126.8526265,1.hr,
C07-4,N6-4,2019,10,1,Jan-23,CELO,440.4404968,1.hr,
C07-5,N6-5,2019,10,2,Jan-23,CELO,644.8714064,1.hr,
C07-6,N6-6,2019,10,3,Jan-23,CELO,485.149693,1.hr,
L10-1,S1-1,2019,11,1,Jan-23,CELO,296.1610153,1.hr,
L10-2,S1-2,2019,11,2,Jan-23,CELO,658.2231472,1.hr,
L10-3,S1-3,2019,11,3,Jan-23,CELO,489.3563606,1.hr,
L10-4,S1-4,2019,12,1,Jan-23,CELO,509.3112315,1.hr,
L10-5,S1-5,2019,12,2,Jan-23,CELO,415.7083114,1.hr,
L10-6,S1-6,2019,12,3,Jan-23,CELO,640.8188479,1.hr,
L12-1,S2-1,2019,13,1,Jan-23,CELO,205.8473409,1.hr,
L12-2,S2-2,2019,13,2,Jan-23,CELO,289.7410072,1.hr,
L12-3,S2-3,2019,13,3,Jan-23,CELO,575.1829944,1.hr,
L12-4,S2-4,2019,14,1,Jan-23,CELO,324.2459557,1.hr,
L12-5,S2-5,2019,14,2,Jan-23,CELO,374.2143791,1.hr,
L12-6,S2-6,2019,14,3,Jan-23,CELO,472.142953,1.hr,
L08-1,S3-1,2019,15,1,Jan-23,CELO,437.8595929,1.hr,
L08-2,S3-2,2019,15,2,Jan-23,CELO,672.2127204,1.hr,
L08-3,S3-3,2019,15,3,Jan-23,CELO,353.6547152,1.hr,
L08-4,S3-4,2019,16,1,Jan-23,CELO,136.2945995,1.hr,
L08-5,S3-5,2019,16,2,Jan-23,CELO,184.3766682,1.hr,
L08-6,S3-6,2019,16,3,Jan-23,CELO,243.7971016,1.hr,
U01-1,S4-1,2019,17,1,Jan-23,CELO,533.4155881,1.hr,
U01-2,S4-2,2019,17,2,Jan-23,CELO,148.2535347,1.hr,
U01-3,S4-3,2019,17,3,Jan-23,CELO,479.6079422,1.hr,
U01-4,S4-4,2019,18,1,Jan-23,CELO,234.7128021,1.hr,
U01-5,S4-5,2019,18,2,Jan-23,CELO,286.0258462,1.hr,
U01-6,S4-6,2019,18,3,Jan-23,CELO,292.1603448,1.hr,
U02-1,S5-1,2019,19,1,Jan-23,CELO,205.5636201,1.hr,
U02-2,S5-2,2019,19,2,Jan-23,CELO,245.3633918,1.hr,
U02-3,S5-3,2019,19,3,Jan-23,CELO,222.8788979,1.hr,
L09-4,N1-4,2019,2,1,Jan-23,CELO,117.6913514,1.hr,
L09-5,N1-5,2019,2,2,Jan-23,CELO,448.9330438,1.hr,
L09-6,N1-6,2019,2,3,Jan-23,CELO,344.6362973,1.hr,
U02-4,S5-4,2019,20,1,Jan-23,CELO,558.5138611,1.hr,
U02-5,S5-5,2019,20,2,Jan-23,CELO,157.4089621,1.hr,
U02-6,S5-6,2019,20,3,Jan-23,CELO,213.9922492,1.hr,
U03-1,S6-1,2019,21,1,Jan-23,CELO,593.7596783,1.hr,
U03-2,S6-2,2019,21,2,Jan-23,CELO,224.5261335,1.hr,
U03-3,S6-3,2019,21,3,Jan-23,CELO,400.9549262,1.hr,
U03-4,S6-4,2019,22,1,Jan-23,CELO,481.2048471,1.hr,
U03-5,S6-5,2019,22,2,Jan-23,CELO,687.4256491,1.hr,
U03-6,S6-6,2019,22,3,Jan-23,CELO,305.7980012,1.hr,
C06-1,P20-1,2019,23,1,Jan-23,CELO,1227.594725,1.hr,
C06-2,P20-2,2019,23,2,Jan-23,CELO,315.3377146,1.hr,
C06-3,P20-3,2019,23,3,Jan-23,CELO,588.6476013,1.hr,
C06-4,P20-4,2019,24,1,Jan-23,CELO,707.9850402,1.hr,
C06-5,P20-5,2019,24,2,Jan-23,CELO,474.7818725,1.hr,
C06-6,P20-6,2019,24,3,Jan-23,CELO,756.4305209,1.hr,
L11-1,N2-1,2019,3,1,Jan-23,CELO,218.8027379,1.hr,
L11-2,N2-2,2019,3,2,Jan-23,CELO,421.2335587,1.hr,
L11-3,N2-3,2019,3,3,Jan-23,CELO,179.536231,1.hr,
L11-4,N2-4,2019,4,1,Jan-23,CELO,296.3850885,1.hr,
L11-5,N2-5,2019,4,2,Jan-23,CELO,481.0550157,1.hr,
L11-6,N2-6,2019,4,3,Jan-23,CELO,183.0827156,1.hr,
C04-1,N4-1,2019,5,1,Jan-23,CELO,400.3106452,1.hr,
C04-2,N4-2,2019,5,2,Jan-23,CELO,368.6242323,1.hr,
C04-3,N4-3,2019,5,3,Jan-23,CELO,449.2979349,1.hr,
C04-4,N4-4,2019,6,1,Jan-23,CELO,328.0103696,1.hr,
C04-5,N4-5,2019,6,2,Jan-23,CELO,513.9783356,1.hr,
C04-6,N4-6,2019,6,3,Jan-23,CELO,428.8272012,1.hr,
C05-1,N5-1,2019,7,1,Jan-23,CELO,529.4732477,1.hr,
C05-2,N5-2,2019,7,2,Jan-23,CELO,429.6712996,1.hr,
C05-3,N5-3,2019,7,3,Jan-23,CELO,347.03339,1.hr,
C05-4,N5-4,2019,8,1,Jan-23,CELO,475.3282327,1.hr,
C05-5,N5-5,2019,8,2,Jan-23,CELO,578.0306855,1.hr,
C05-6,N5-6,2019,8,3,Jan-23,CELO,542.758768,1.hr,
C07-1,N6-1,2019,9,1,Jan-23,CELO,513.8752153,1.hr,
C07-2,N6-2,2019,9,2,Jan-23,CELO,485.6584224,1.hr,
C07-3,N6-3,2019,9,3,Jan-23,CELO,432.4644596,1.hr,
U01-1,U01-1,2020,25,1,Jan-23,CELO,979.8492313,1.hr,
U01-2,U01-2,2020,25,2,Jan-23,CELO,778.0374833,1.hr,
U01-3,U01-3,2020,25,3,Jan-23,CELO,789.1319891,1.hr,
U01-4,U01-4,2020,26,1,Jan-23,CELO,1301.531379,1.hr,
U01-5,U01-5,2020,26,2,Jan-23,CELO,1366.043903,1.hr,
U01-6,U01-6,2020,26,3,Jan-23,CELO,851.9312673,1.hr,
U02-1,U02-1,2020,27,1,Jan-23,CELO,523.3436614,1.hr,
U02-2,U02-2,2020,27,2,Jan-23,CELO,560.1707107,1.hr,
U02-3,U02-3,2020,27,3,Jan-23,CELO,400.8577543,1.hr,
U02-4,U02-4,2020,28,1,Jan-23,CELO,841.9876264,1.hr,
U02-5,U02-5,2020,28,2,Jan-23,CELO,797.4596162,1.hr,
U02-6,U02-6,2020,28,3,Jan-23,CELO,525.2541898,1.hr,
U03-1,U03-1,2020,29,1,Jan-23,CELO,539.7019668,1.hr,
U03-2,U03-2,2020,29,2,Jan-23,CELO,383.1846198,1.hr,
