Sample_new,Sample_Name,Perc_Moisture,Year,Proportion_dry
L09-1,N1-1,76.50746269,2019,0.234925373
L09-2,N1-2,78.77106046,2019,0.212289395
L09-3,N1-3,80.60817547,2019,0.193918245
L09-4,N1-4,76.60377358,2019,0.233962264
L09-5,N1-5,76.16302187,2019,0.238369781
L09-6,N1-6,73.16154609,2019,0.268384539
L11-1,N2-1,79.83084577,2019,0.201691542
L11-2,N2-2,80.12922465,2019,0.198707753
L11-3,N2-3,80.25768087,2019,0.197423191
L11-4,N2-4,81.37587238,2019,0.186241276
L11-5,N2-5,81.81908549,2019,0.181809145
L11-6,N2-6,78.75123885,2019,0.212487611
C04-1,N4-1,84.68253968,2019,0.153174603
C04-2,N4-2,81.47410359,2019,0.185258964
C04-3,N4-3,84.55896928,2019,0.154410307
C04-4,N4-4,84.35515873,2019,0.156448413
C04-5,N4-5,81.67330677,2019,0.183266932
C04-6,N4-6,81.17764471,2019,0.188223553
C05-1,N5-1,78.7797619,2019,0.212202381
C05-2,N5-2,82.32303091,2019,0.176769691
C05-3,N5-3,77.29890765,2019,0.227010924
C05-4,N5-4,81.9760479,2019,0.180239521
C05-5,N5-5,72.66865079,2019,0.273313492
C05-6,N5-6,80.16915423,2019,0.198308458
C07-1,N6-1,81.9582505,2019,0.180417495
C07-2,N6-2,70.78528827,2019,0.292147117
C07-3,N6-3,77.15422886,2019,0.228457711
C07-4,N6-4,82.67130089,2019,0.173286991
C07-5,N6-5,75.58441558,2019,0.244155844
C07-6,N6-6,75.98401598,2019,0.24015984
L10-1,S1-1,83.4995015,2019,0.165004985
L10-2,S1-2,81.56901688,2019,0.184309831
L10-3,S1-3,80.41791045,2019,0.195820896
L10-4,S1-4,74.76190476,2019,0.252380952
L10-5,S1-5,79.88047809,2019,0.201195219
L10-6,S1-6,80.66799601,2019,0.19332004
L12-1,S2-1,82.38095238,2019,0.176190476
L12-2,S2-2,75.32934132,2019,0.246706587
L12-3,S2-3,68.47457627,2019,0.315254237
L12-4,S2-4,82.68463074,2019,0.173153693
L12-5,S2-5,75.70289133,2019,0.242971087
L12-6,S2-6,78.18181818,2019,0.218181818
L08-1,S3-1,78.35657371,2019,0.216434263
L08-2,S3-2,79.28429423,2019,0.207157058
L08-3,S3-3,78.33333333,2019,0.216666667
L08-4,S3-4,78.12127237,2019,0.218787276
L08-5,S3-5,76.65668663,2019,0.233433134
L08-6,S3-6,78.45084409,2019,0.215491559
U01-1,S4-1,78.9332004,2019,0.210667996
U01-2,S4-2,83.50198413,2019,0.164980159
U01-3,S4-3,78.78243513,2019,0.212175649
U01-4,S4-4,77.7060576,2019,0.222939424
U01-5,S4-5,74.15920398,2019,0.25840796
U01-6,S4-6,83.74379345,2019,0.162562066
U02-1,S5-1,82.15491559,2019,0.178450844
U02-2,S5-2,73.73134328,2019,0.262686567
U02-3,S5-3,78.34661355,2019,0.216533865
U02-4,S5-4,76.99801193,2019,0.230019881
U02-5,S5-5,77.3752495,2019,0.226247505
U02-6,S5-6,81.41858142,2019,0.185814186
U03-1,S6-1,78.42261905,2019,0.21577381
U03-2,S6-2,79.15422886,2019,0.208457711
U03-3,S6-3,82.43296922,2019,0.175670308
U03-4,S6-4,78.69521912,2019,0.213047809
U03-5,S6-5,78.99801587,2019,0.210019841
U03-6,S6-6,78.05389222,2019,0.219461078
C06-1,P20-1,75.67864271,2019,0.243213573
C06-2,P20-2,66.8358209,2019,0.331641791
C06-3,P20-3,77.19840479,2019,0.228015952
C06-4,P20-4,78.85912698,2019,0.21140873
C06-5,P20-5,81.99203187,2019,0.180079681
C06-6,P20-6,84.0438247,2019,0.159561753
U01-1,U01-1,75.46812749,2020,0.245318725
U01-2,U01-2,75.89870904,2020,0.24101291
U01-3,U01-3,77.62948207,2020,0.223705179
U01-4,U01-4,73.35329341,2020,0.266467066
U01-5,U01-5,73.70887338,2020,0.262911266
U01-6,U01-6,76.45129225,2020,0.235487078
U02-1,U02-1,78.25697211,2020,0.217430279
U02-2,U02-2,78.25697211,2020,0.217430279
U02-3,U02-3,70.71928072,2020,0.292807193
U02-4,U02-4,74.10129096,2020,0.25898709
U02-5,U02-5,76.46706587,2020,0.235329341
U02-6,U02-6,79.46428571,2020,0.205357143
U03-1,U03-1,76.94,2020,0.2306
U03-2,U03-2,75.32210109,2020,0.246778989
U03-3,U03-3,78.64811133,2020,0.213518887
U03-4,U03-4,76.06181456,2020,0.239381854
U03-5,U03-5,73.62,2020,0.2638
U03-6,U03-6,75.33399801,2020,0.24666002
C04-1,C04-1,75.73705179,2020,0.242629482
C04-2,C04-2,69.50347567,2020,0.304965243
C04-3,C04-3,80.96903097,2020,0.19030969
C04-4,C04-4,77.3359841,2020,0.226640159
C04-5,C04-5,77.18562874,2020,0.228143713
C04-6,C04-6,77.01596806,2020,0.229840319
C05-1,C05-1,82.2310757,2020,0.177689243
C05-2,C05-2,83.76365442,2020,0.162363456
C05-3,C05-3,80.33797217,2020,0.196620278
C05-4,C05-4,79.94011976,2020,0.200598802
C05-5,C05-5,81.76762661,2020,0.182323734
C05-6,C05-6,81.82089552,2020,0.181791045
C06-1,C06-1,81.52694611,2020,0.184730539
C06-2,C06-2,85.73558648,2020,0.142644135
C06-3,C06-3,75.92814371,2020,0.240718563
C06-4,C06-4,82.62686567,2020,0.173731343
C06-5,C06-5,80.15936255,2020,0.198406375
C06-6,C06-6,80.92907093,2020,0.190709291
L08-1,L08-1,79.1,2020,0.209
L08-2,L08-2,71.99203187,2020,0.280079681
L08-3,L08-3,82.34126984,2020,0.176587302
L08-4,L08-4,78.98101898,2020,0.21018981
L08-5,L08-5,77.95228628,2020,0.220477137
L08-6,L08-6,77.48753739,2020,0.225124626
L09-1,L09-1,79.09090909,2020,0.209090909
L09-2,L09-2,73.6119403,2020,0.263880597
L09-3,L09-3,83.46653347,2020,0.165334665
L09-4,L09-4,80.18867925,2020,0.198113208
L09-5,L09-5,75.81836327,2020,0.241816367
L09-6,L09-6,74.21314741,2020,0.257868526
L10-1,L10-1,80.56943057,2020,0.194305694
L10-2,L10-2,77.31536926,2020,0.226846307
L10-3,L10-3,77.08,2020,0.2292
L10-4,L10-4,77.95613161,2020,0.220438684
L10-5,L10-5,77.17846461,2020,0.228215354
L10-6,L10-6,74.36,2020,0.2564
L11-1,L11-1,81.93227092,2020,0.180677291
L11-2,L11-2,81.11888112,2020,0.188811189
L11-3,L11-3,81.56686627,2020,0.184331337
L11-4,L11-4,79.45382324,2020,0.205461768
L11-5,L11-5,84.11,2020,0.1589
L11-6,L11-6,80.11928429,2020,0.198807157
L12-1,L12-1,81.98807157,2020,0.180119284
L12-2,L12-2,78.8667992,2020,0.211332008
L12-3,L12-3,82.84147557,2020,0.171585244
L12-4,L12-4,79.07646475,2020,0.209235353
L12-5,L12-5,74.98003992,2020,0.250199601
L12-6,L12-6,75.90229312,2020,0.240977069
C07-1,C07-1,80.80516899,2020,0.19194831
C07-2,C07-2,82.24875622,2020,0.177512438
C07-3,C07-3,79.52286282,2020,0.204771372
C07-4,C07-4,79.0329013,2020,0.209670987
C07-5,C07-5,70.12935323,2020,0.298706468
C07-6,C07-6,74.92063492,2020,0.250793651
U01-1,U01-1,78.88223553,2021,0.211177645
U01-2,U01-2,87.14143426,2021,0.128585657
U01-3,U01-3,87.62140733,2021,0.123785927
U01-4,U01-4,84.55896928,2021,0.154410307
U01-5,U01-5,85.34,2021,0.1466
U01-6,U01-6,87.56194252,2021,0.124380575
